"date","open","high","low","close","volume","oi"
10/22/1985,123.61,124.33,123.44,123.97,J,0
10/25/1985,123.97,124.17,122.82,123.14,J,0
11/01/1985,115.48,116.78,115.48,116.28,J,0
11/04/1985,116.28,117.07,115.82,116.04,J,0
11/05/1985,116.04,116.57,115.88,116.44,P,0
11/06/1985,116.44,117.62,116.44,117.38,P,0
11/06/1985,116.44,117.62,116.44,117.38,P,0
11/07/1985,117.38,117.96,117.38,117.62,P,0
11/06/1985,116.44,117.62,116.44,117.38,P,0
11/07/1985,117.38,117.96,117.38,117.62,P,0
11/07/1985,117.38,117.96,117.38,117.62,P,0
11/08/1985,117.62,119.39,117.58,119.26,867600,0
11/11/1985,119.26,120.54,119.18,120.40,803900,0
11/12/1985,120.39,122.01,120.39,121.82,1083000,0
11/13/1985,121.82,121.92,120.90,121.17,932100,0
11/14/1985,121.17,121.92,120.80,121.83,P,0
11/15/1985,121.83,123.10,121.79,122.18,952700,0
11/18/1985,122.18,122.28,121.73,121.96,822100,0
11/19/1985,121.96,122.80,121.74,122.57,1018000,0
11/20/1985,122.57,122.79,122.20,122.20,976000,0
11/21/1985,122.20,123.81,122.20,123.61,1199000,0
11/22/1985,123.61,124.33,123.44,123.97,P,0
11/25/1985,123.97,124.17,122.82,123.14,834300,0
11/26/1985,123.14,124.25,123.09,123.95,936300,0
11/27/1985,123.95,125.88,123.88,125.77,1033000,0
11/29/1985,125.77,126.43,125.52,126.06,575900,0
12/02/1985,126.06,126.28,124.86,125.18,857600,0
12/03/1985,125.18,125.42,124.72,125.23,845400,0
12/04/1985,125.23,128.05,125.17,127.94,1172000,0
12/05/1985,128.07,129.89,127.86,128.46,1415000,0
12/06/1985,128.46,128.54,126.78,126.96,1108000,0
12/09/1985,126.96,127.64,126.83,127.49,1048000,0
12/10/1985,127.49,128.52,127.15,127.97,1118000,0
12/11/1985,127.97,129.65,127.97,129.18,1265000,0
12/12/1985,129.18,130.10,129.18,129.76,1173000,0
12/13/1985,129.76,132.17,129.76,132.13,1317000,0
12/16/1985,132.13,133.18,132.06,132.61,1153000,0
12/17/1985,132.54,132.73,131.32,131.54,1210000,0
12/18/1985,131.52,131.98,130.71,131.14,1379000,0
12/19/1985,131.14,132.03,130.91,131.93,1149000,0